toreorder,SubjectID,study,ageinmonths,ageinyears,gender,ChildRace_raw,ChildRace,placetested,ChildLang,childspeakers,MothersEdu,daycare/school,siblings,Network Size,NetworkRaceEntropy,RaceEIindex,RaceEIindex_detailedbiracial,LangEntropy_perlang,LangEntropy_percategory,LangEIIndex,NumKin,PropKin,NumAdults,PropAdult,NumChild (total - adult),PropChild,NumHighIntense,NumLowIntense,PropHighIntense,PropLowIntense,NumContexts,groupnodefordaycareteachers+kids,componentratio,Density,NeighorRaceDiv,zipcode,zipcode_og,city,county,suburban/urban,white_zipcode,black_zipcode,americanindian_zipcode,asian_zipcode,nativehawaiian_zipcode,hispanic_zipcode,some_other_race_zipcode,two_or_more_zipcode,NeighborLangDiv,percent_nonenglish,percent_englishonly,percent_spanish_speaking,percent_IndoEuropean_speaking,percent_AsianPacific_speaking,percent_otherlang_speaking,familycomp_raceentro,schoolcomp_raceentro,extra1comp_raceentro,extra2comp_raceentro,extra3comp_raceentro,extra4comp_raceentro,extra5comp_raceentro,median_income
13,ISEpilot20,ISEpilot,8.36,0.70,Female,white,European or White-American,lab,English ,monolingual,Post-Graduate,yes,sibling,,,,,,,-0.777777778,,,,,,,5,4,0.555555556,0.444444444,2,yes,-1,NA,0.447493869,60649,60649,"Chicago, IL",Cook County,urban,0.029,0.926,0.002,0.004,0,0.026,0.001,0.025,0.457078936,0.064,0.936,0.027,0.018,0.004,0.015,NA,NA,NA,NA,NA,NA,NA,31921
14,ISEpilot21,ISEpilot,8.78,0.73,Male,white,European or White-American,lab,"English, French, Russian, Spanish",multilingual,Post-Graduate,yes,only,6,0.650022422,-0.666666667,-0.666666667,2.251629167,0.918295834,-0.666666667,3,0.50,6,1.00,0,0.00,2,4,0.333333333,0.666666667,2,,0.2,NA,1.695542311,60640,60640,"Chicago, IL",Cook County,urban,0.553,0.166,0.003,0.109,0,0.143,0.002,0.049,1.587830324,0.341,0.659,0.12,0.096,0.066,0.059,NA,NA,NA,NA,NA,NA,NA,57221
15,ISEpilot22,ISEpilot,13.68,1.14,Female,white,European or White-American,lab,NA,NA,Bachelor,no,only,6,0.650022422,-0.666666667,-0.666666667,NA,NA,NA,3,0.50,6,1.00,0,0.00,2,4,0.333333333,0.666666667,1,,0,NA,1.368925246,60641,60641,"Chicago, IL",Cook County,urban,0.366,0.019,0.001,0.045,0,0.54,0.005,0.047,1.646187306,0.62,0.38,0.465,0.106,0.032,0.017,NA,NA,NA,NA,NA,NA,NA,63545
16,ISEpilot23,ISEpilot,12.63,1.05,Male,black,African or African-American,lab,NA,NA,Some college,no,sibling,5,0,-1,-1,0,0,NA,5,1.00,2,0.40,0,0.00,5,0,1,0,1,,0,NA,0.277571164,60619,60619,"Chicago, IL",Cook County,urban,0.014,0.956,0,0.003,0,0.014,0.002,0.021,0.273912121,0.034,0.966,0.015,0.008,0.002,0.009,NA,NA,NA,NA,NA,NA,NA,35629
17,ISEpilot24,ISEpilot,11.45,0.95,Male,white,European or White-American,lab,"English, Spanish ",multilingual,Post-Graduate,yes,sibling,7,1.378783493,-0.142857143,-0.142857143,0.863120569,0.863120569,-1,4,0.57,5,0.71,2,0.29,5,2,0.714285714,0.285714286,2,,0.166666667,NA,1.433652399,60618,60618,"Chicago, IL",Cook County,urban,0.483,0.021,0,0.061,0.001,0.404,0.003,0.054,1.48636035,0.452,0.548,0.345,0.061,0.038,0.008,NA,NA,NA,NA,NA,NA,NA,78704
18,ISEpilot25,ISEpilot,14.11,1.18,Female,black,African or African-American,lab,English ,monolingual,Post-Graduate,no,only,5,1.370950594,0.6,0.6,0.721928095,0.721928095,-0.6,2,0.40,5,1.00,0,0.00,2,3,0.4,0.6,2,,0.25,NA,1.832625124,60616,60616,"Chicago, IL",Cook County,urban,0.242,0.248,0,0.404,0,0.084,0.001,0.04,1.549289724,0.458,0.542,0.052,0.062,0.333,0.011,NA,NA,NA,NA,NA,NA,NA,52162
19,ISEpilot26,ISEpilot,10.10,0.84,Female,white,European or White-American,lab,English ,monolingual,Post-Graduate,yes,only,7,1.448815636,0.142857143,0.142857143,1,1,0,2,0.29,5,0.71,0,0.00,3,4,0.428571429,0.571428571,2,,0.166666667,NA,1.438420438,60647,60647,"Chicago, IL",Cook County,urban,0.443,0.054,0.001,0.03,0,0.448,0.001,0.045,1.199690563,0.375,0.625,0.333,0.026,0.01,0.006,NA,NA,NA,NA,NA,NA,NA,78413
20,ISEpilot27,ISEpilot,14.31,1.19,Male,white,European or White-American,lab,English ,monolingual,Post-Graduate,yes,only,5,1.521928095,0.2,0.2,0.970950594,0.970950594,-0.2,2,0.40,5,1.00,0,0.00,5,0,1,0,2,,0.25,NA,1.438420438,60647,60647,"Chicago, IL",Cook County,urban,0.443,0.054,0.001,0.03,0,0.448,0.001,0.045,1.199690563,0.375,0.625,0.333,0.026,0.01,0.006,NA,NA,NA,NA,NA,NA,NA,78413
21,ISEpilot28,ISEpilot,9.31,0.78,Male,Hispanic or Latino,Hispanic or Latino-American,lab,"English, Spanish ",multilingual,High School Degree or GED,no,only,6,0,-1,-1,0.918295834,0.918295834,-1,5,0.83,6,1.00,0,0.00,3,3,0.5,0.5,1,,0,NA,1.639794847,60609,60609,"Chicago, IL",Cook County,urban,0.149,0.243,0,0.063,0,0.534,0,0.021,1.361345831,0.536,0.464,0.466,0.013,0.054,0.003,NA,NA,NA,NA,NA,NA,NA,37353
22,ISEpilot29,ISEpilot,11.48,0.96,Male,biracial (Hispanic or Latino-Asian),Mixed/Biracial,lab,"English, Hindi, Spanish",multilingual,Bachelor,no,only,7,1.664497779,0.714285714,-0.714285714,1.842370993,0.985228136,-0.428571429,4,0.57,7,1.00,0,0.00,4,2,0.666666667,0.333333333,2,,0.166666667,NA,1.782575172,60626,60626,"Chicago, IL",Cook County,urban,0.451,0.247,0,0.059,0,0.206,0.008,0.057,1.552057284,0.359,0.641,0.19,0.079,0.031,0.059,NA,NA,NA,NA,NA,NA,NA,42747
23,ISEpilot3,ISEpilot,8.26,0.69,Female,white,European or White-American,lab,"English, German, Spanish, ASL",multilingual,Post-Graduate,yes,only,22,NA,NA,NA,2.090468571,1.295461844,-0.333333333,3,0.14,17,0.77,4,0.18,7,14,0.333333333,0.666666667,3,,0.095238095,NA,0.865714766,60126,60126,"Elmhurst, IL",DuPage County,suburban/rural,0.824,0.013,0,0.061,0,0.083,0.001,0.035,0.821175602,0.141,0.859,0.048,0.063,0.025,0.005,NA,NA,NA,NA,NA,NA,NA,117258
24,ISEpilot30,ISEpilot,8.75,0.73,Male,white,European or White-American,lab,NA,NA,High School Degree or GED,yes,sibling,5,0,-1,-1,0.970950594,0.970950594,NA,5,1.00,4,0.80,1,0.20,3,2,0.6,0.4,1,,0,NA,1.58852464,60016,60016,"Des Plaines, IL",Cook County,suburban/rural,0.561,0.037,0.002,0.243,0.001,0.139,0.003,0.028,1.887690435,0.527,0.473,0.112,0.277,0.101,0.037,NA,NA,NA,NA,NA,NA,NA,64195
25,ISEpilot31,ISEpilot,14.74,1.23,Female,white,European or White-American,lab,English ,monolingual,Post-Graduate,no,only,7,0,-1,-1,0,0,-1,5,0.71,6,0.86,1,0.14,3,4,0.428571429,0.571428571,1,,0,NA,0.949567718,60657,60657,"Chicago, IL",Cook County,urban,0.805,0.025,0.001,0.069,0.001,0.07,0.001,0.057,0.866234175,0.146,0.854,0.049,0.053,0.033,0.011,NA,NA,NA,NA,NA,NA,NA,95173
26,ISEpilot32,ISEpilot,12.37,1.03,Female,biracial (Hispanic or Latino-white),Mixed/Biracial,lab,"English, Spanish ",multilingual,Post-Graduate,yes,only,5,1.521928095,0.6,-1,0,0,-1,2,0.40,4,0.80,1,0.20,4,1,0.8,0.2,2,,0.25,NA,0.824293523,60632,60632,"Chicago, IL",Cook County,urban,0.088,0.011,0,0.056,0,0.84,0,0.009,1.127754026,0.848,0.152,0.76,0.029,0.054,0.005,NA,NA,NA,NA,NA,NA,NA,44924
27,ISEpilot4,ISEpilot,8.75,0.73,Female,biracial (White-SouthAsian),Mixed/Biracial,lab,"English, Lithuanian, Urdu",multilingual,Post-Graduate,no,sibling,6,1.918295834,0.333333333,-0.666666667,1.918295834,0.918295834,-0.333333333,5,0.83,4,0.67,2,0.33,5,1,0.833333333,0.166666667,2,,0.2,NA,1.832625124,60616,60616,"Chicago, IL",Cook County,urban,0.242,0.248,0,0.404,0,0.084,0.001,0.04,1.549289724,0.458,0.542,0.052,0.062,0.333,0.011,NA,NA,NA,NA,NA,NA,NA,52162
28,ISEpilot5,ISEpilot,9.87,0.82,Male,biracial (White-East Asian),Mixed/Biracial,lab,"English, Chinese",multilingual,Bachelor,no,only,4,0.811278124,1,-1,1.5,1.5,-1,4,1.00,4,1.00,0,0.00,4,0,1,0,1,,0,NA,1.692340291,60607,60607,"Chicago, IL",Cook County,urban,0.522,0.144,0,0.225,0,0.083,0.002,0.048,1.186682418,0.239,0.761,0.047,0.073,0.112,0.007,NA,NA,NA,NA,NA,NA,NA,102726
29,ISEpilot6,ISEpilot,8.98,0.75,Female,white,European or White-American,lab,"English, Portuguese, Spanish",multilingual,Bachelor,no,only,7,1.842370993,0.142857143,0.142857143,1.378783493,0.985228136,-1,2,0.29,5,0.71,2,0.29,2,5,0.285714286,0.714285714,1,,0,NA,1.776802833,60608,60608,"Chicago, IL",Cook County,urban,0.191,0.172,0.001,0.12,0,0.507,0.001,0.015,1.524042108,0.558,0.442,0.432,0.018,0.103,0.005,NA,NA,NA,NA,NA,NA,NA,50133
30,ISEpilot7,ISEpilot,14.38,1.20,Female,black,African or African-American,lab,English ,monolingual,Some college,yes,only,6,NA,NA,NA,0,0,-1,4,0.67,4,0.67,1,0.17,3,2,0.6,0.4,2,,0.2,NA,0.266547184,60620,60620,"Chicago, IL",Cook County,urban,0.011,0.962,0.001,0.004,0,0.013,0.002,0.013,0.191197728,0.023,0.977,0.014,0.006,0.002,0.001,NA,NA,NA,NA,NA,NA,NA,36767
31,ISEpilot8,ISEpilot,13.52,1.13,Male,Middle eastern,Middle Eastern,lab,"English, Arabic",multilingual,Bachelor,no,only,7,0,-1,-1,0.863120569,0.863120569,-1,2,0.29,5,0.71,2,0.29,2,5,0.285714286,0.714285714,2,,0.166666667,NA,1.220000294,60638,60638,"Chicago, IL",Cook County,urban,0.436,0.029,0.001,0.005,0,0.518,0.001,0.02,1.392828221,0.463,0.537,0.358,0.099,0.003,0.003,NA,NA,NA,NA,NA,NA,NA,28965
32,ISEpilot9,ISEpilot,14.05,1.17,Female,white,European or White-American,lab,"English, Greek, Spanish",multilingual,Post-Graduate,no,only,4,0,-1,-1,1.5,0,-1,4,1.00,4,1.00,0,0.00,3,1,0.75,0.25,1,,0,NA,1.306021788,60455,60455,"Bridgeview, IL",Cook County,suburban/rural,0.662,0.036,0,0.064,0,0.227,0,0.021,1.882507635,0.496,0.504,0.178,0.192,0.035,0.091,NA,NA,NA,NA,NA,NA,NA,55637
33,Attn1,Attention,20.63,1.72,Female,White or European-American,European or White-American,lab,"English, German, Turkish",multilingual,Post-Graduate,no,only,6,0.918295834,-0.333333333,-0.333333333,1.251629167,0.918295834,-1,3,0.50,3,0.5,3,0.50,2,4,0.333333333,0.666666667,3,,0.4,NA,1.863949986,60645,60645,"Chicago, IL",Cook County,urban,0.45,0.17,0.002,0.163,0,0.17,0.004,0.081,1.933609365,0.515,0.485,0.153,0.201,0.036,0.125,NA,NA,NA,NA,NA,NA,NA,57572
34,Attn10,Attention,20.26,1.69,Male,White or European-American,European or White-American,lab,English,monolingual,Bachelor,yes,only,6,1,0,0,0.650022422,0.650022422,-0.666666667,2,0.33,3,0.5,3,0.50,2,4,0.333333333,0.666666667,4,,0.6,NA,NA,NA,not available,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
35,Attn11,Attention,20.99,1.75,Female,Biracial/Multiracial,Mixed/Biracial,lab,English,monolingual,Some college,no,sibling,10,0.881290899,0.4,NA,0.721928095,0.721928095,-0.6,10,1.00,4,0.4,6,0.60,7,1,0.875,0.125,1,,0,NA,0.428952164,60628,60628,"Chicago, IL",Cook County,urban,0.019,0.932,0.001,0.002,0,0.034,0.004,0.016,0.343729623,0.049,0.951,0.035,0.008,0.002,0.004,NA,NA,NA,NA,NA,NA,NA,41169
36,Attn12,Attention,21.51,1.79,Male,Black or African-American,African or African-American,lab,English,monolingual,Bachelor,yes,only,6,0,-1,-1,0,0,-1,5,0.83,5,0.833333333,1,0.17,3,3,0.5,0.5,2,,0.2,NA,1.109715958,60637,60637,"Chicago, IL",Cook County,urban,0.145,0.758,0.004,0.045,0,0.028,0.003,0.035,0.671902084,0.102,0.898,0.026,0.03,0.033,0.013,NA,NA,NA,NA,NA,NA,NA,28965
37,Attn13,Attention,21.22,1.77,Male,Asian or Asian-American,Asian or Asian-American,lab,"English, Chinese, Korean",multilingual,Post-Graduate,no,sibling,6,0.650022422,-0.666666667,-0.666666667,1.79248125,1.459147917,-0.666666667,5,0.83,2,0.333333333,4,0.67,4,1,0.8,0.2,2,,0.2,NA,1.109715958,60637,60637,"Chicago, IL",Cook County,urban,0.145,0.758,0.004,0.045,0,0.028,0.003,0.035,0.671902084,0.102,0.898,0.026,0.03,0.033,0.013,NA,NA,NA,NA,NA,NA,NA,28965
38,Attn14,Attention,20.33,1.69,Female,White or European-American,European or White-American,lab,"English, Russian, Serbian",multilingual,Post-Graduate,no,only,5,0,-1,-1,0.970950594,0.970950594,-1,4,0.80,5,1,0,0.00,3,2,0.6,0.4,1,,0,NA,NA,NA,not available,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39,Attn16,Attention,21.51,1.79,Male,Hispanic or Latino-American,Hispanic or Latino-American,lab,"English, Spanish ",multilingual,High School Degree or GED,no,only,4,0,-1,-1,0,0,-1,4,1.00,4,1,0,0.00,2,2,0.5,0.5,1,,0,NA,1.639794847,60609,60609,"Chicago, IL",Cook County,urban,0.149,0.243,0,0.063,0,0.534,0,0.021,1.361345831,0.536,0.464,0.466,0.013,0.054,0.003,NA,NA,NA,NA,NA,NA,NA,37353
40,Attn18,Attention,19.87,1.66,Male,White or European-American,European or White-American,lab,"English, Spanish ",multilingual,Post-Graduate,no,only,4,0,-1,-1,0.811278124,0.811278124,-1,3,0.75,3,0.75,1,0.25,2,2,0.5,0.5,1,,0,NA,1.534901473,60602,60602,"Chicago, IL",Cook County,urban,0.633,0.038,0.052,0.195,0,0.065,0,0.034,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,191528
41,Attn2,Attention,20.03,1.67,Male,White or European-American,European or White-American,lab,English,monolingual,Post-Graduate,no,sibling,5,1.370950594,-0.2,-0.2,0.721928095,0.721928095,-0.6,3,0.60,3,0.6,2,0.40,3,2,0.6,0.4,2,,0.25,NA,1.580581388,60615,60615,"Chicago, IL",Cook County,urban,0.264,0.547,0.004,0.08,0,0.062,0.003,0.08,1.009013249,0.179,0.821,0.061,0.039,0.063,0.016,NA,NA,NA,NA,NA,NA,NA,45077
42,Attn20,Attention,20.39,1.70,Female,White or European-American,European or White-American,lab,"English, French, Spanish",multilingual,Post-Graduate,yes,only,6,0.918295834,0.333333333,0.333333333,1.251629167,0.918295834,-1,2,0.33,4,0.666666667,2,0.33,5,1,0.833333333,0.166666667,2,,0.2,NA,1.206733302,10012,10012,"New York, New York",New York County,urban,0.698,0.025,0.001,0.173,0,0.064,0.001,0.076,1.26741807,0.259,0.741,0.037,0.103,0.103,0.016,NA,NA,NA,NA,NA,NA,NA,106467
43,Attn21,Attention,21.38,1.78,Female,Hispanic or Latino-American,Hispanic or Latino-American,lab,"English, Spanish",multilingual,Post-Graduate,no,sibling,8,0.543564443,-0.75,-0.75,1,1,-1,7,0.88,5,0.625,3,0.38,6,2,0.75,0.25,1,,0,NA,1.776802833,60608,60608,"Chicago, IL",Cook County,urban,0.191,0.172,0.001,0.12,0,0.507,0.001,0.015,1.524042108,0.558,0.442,0.432,0.018,0.103,0.005,NA,NA,NA,NA,NA,NA,NA,50133
44,Attn22,Attention,20.56,1.71,Female,Black or African-American,African or African-American,lab,"English, Spanish",multilingual,Associates,yes,only,7,0.863120569,-0.428571429,-0.428571429,0.970950594,0.970950594,-1,5,0.71,5,0.714285714,2,0.29,5,2,0.714285714,0.285714286,2,,0.166666667,NA,1.776802833,60608,60608,"Chicago, IL",Cook County,urban,0.191,0.172,0.001,0.12,0,0.507,0.001,0.015,1.524042108,0.558,0.442,0.432,0.018,0.103,0.005,NA,NA,NA,NA,NA,NA,NA,50133
45,Attn25,Attention,19.74,1.65,Male,White or European-American,European or White-American,lab,English,monolingual,Post-Graduate,no,only,13,0.468995594,-0.8,-0.8,0,0,-1,11,0.85,6,0.461538462,7,0.54,3,10,0.230769231,0.769230769,3,,0.166666667,NA,0.885492258,60655,60655,"Chicago, IL",Cook County,urban,0.826,0.066,0,0.015,0,0.083,0.001,0.018,0.439819785,0.064,0.936,0.03,0.025,0.008,0.001,NA,NA,NA,NA,NA,NA,NA,102813
46,Attn27,Attention,19.97,1.66,Male,Mixed/Biracial,Mixed/Biracial,lab,"English, Korean",multilingual,Bachelor,yes,only,8,1.950212065,0.428571429,0.142857143,0.591672779,0.591672779,-1,3,0.38,4,0.5,4,0.50,2,6,0.25,0.75,5,,0.571428571,NA,1.510929004,60642,60642,"Chicago, IL",Cook County,urban,0.6,0.101,0,0.07,0,0.202,0,0.054,1.062583772,0.227,0.773,0.15,0.052,0.023,0.002,NA,NA,NA,NA,NA,NA,NA,112241
47,Attn29,Attention,21.45,1.79,Male,Hispanic or Latino-American,Hispanic or Latino-American,lab,"English, Spanish",multilingual,Some college,no,sibling,8,0.543564443,-0.75,-0.75,1,1,-1,7,0.88,4,0.5,4,0.50,4,4,0.5,0.5,2,,0.142857143,NA,1.281780528,60617,60617,"Chicago, IL",Cook County,urban,0.063,0.554,0,0.002,0,0.377,0.001,0.007,1.12888665,0.352,0.648,0.32,0.02,0.002,0.01,NA,NA,NA,NA,NA,NA,NA,41125
48,Attn3,Attention,19.84,1.65,Male,Asian or Asian-American,Asian or Asian-American,lab,"English, Thai",multilingual,NA,no,sibling,8,0.985228136,-0.142857143,-0.142857143,1.459147917,0.918295834,-0.666666667,4,0.50,3,0.375,5,0.63,3,5,0.375,0.625,4,,0.428571429,NA,1.368925246,60641,60641,"Chicago, IL",Cook County,urban,0.366,0.019,0.001,0.045,0,0.54,0.005,0.047,1.646187306,0.62,0.38,0.465,0.106,0.032,0.017,NA,NA,NA,NA,NA,NA,NA,63545
49,Attn30,Attention,20.03,1.67,Female,Black or African-American,African or African-American,lab,English,monolingual,NA,no,sibling,9,0,-1,-1,0.503258335,0.503258335,-0.777777778,8,0.89,4,0.444444444,5,0.56,6,3,0.666666667,0.333333333,2,,0.125,NA,1.037913316,60643,60643,"Chicago, IL",Cook County,urban,0.203,0.733,0.001,0.004,0,0.033,0.005,0.042,0.326353495,0.044,0.956,0.025,0.013,0.004,0.002,NA,NA,NA,NA,NA,NA,NA,65631
50,Attn31,Attention,21.05,1.75,Male,White or European-American,European or White-American,lab,"English, Hebrew",multilingual,Post-Graduate,yes,sibling,6,0,-1,-1,0.650022422,0.650022422,-1,4,0.67,4,0.666666667,2,0.33,3,3,0.5,0.5,2,,0.2,NA,1.362694907,60622,60622,"Chicago, IL",Cook County,urban,0.647,0.061,0.001,0.043,0,0.219,0.003,0.053,1.143936719,0.253,0.747,0.152,0.082,0.016,0.003,NA,NA,NA,NA,NA,NA,NA,101161
51,Attn32,Attention,19.93,1.66,Male,Hispanic or Latino-American,Hispanic or Latino-American,lab,"English, Chinese, Spanish",multilingual,Bachelor,no,only,11,1.846439345,0.2,0.2,2.121928095,1.295461844,-0.8,7,0.64,9,0.818181818,2,0.18,NA,NA,NA,NA,3,,0.2,NA,1.220000294,60638,60638,"Chicago, IL",Cook County,urban,0.436,0.029,0.001,0.005,0,0.518,0.001,0.02,1.392828221,0.463,0.537,0.358,0.099,0.003,0.003,NA,NA,NA,NA,NA,NA,NA,68089
52,Attn33,Attention,20.13,1.68,Male,Hispanic or Latino-American,Hispanic or Latino-American,lab,"English, Spanish",multilingual,High School Degree or GED,yes,only,6,1.5,0,0,0.970950594,0.918295834,-1,4,0.67,5,0.833333333,1,0.17,2,4,0.333333333,0.666666667,2,,0.2,NA,1.063508498,60561,60561,"Darien, IL",DuPage County,suburban/rural,0.76,0.032,0,0.119,0,0.058,0,0.062,1.125956643,0.225,0.775,0.033,0.121,0.062,0.009,NA,NA,NA,NA,NA,NA,NA,99472
